Field season 2014																															
																															
																															
																															
Plot: 1					Plot: 2					Plot: 3								Species	Date collected	Plot	Sex	Weight	Device calibration status	Field season							
Date collected	Species	Sex	Weight		Date collected	Species	Sex	Weight		Date collected	Species	Sex	Weight					DM	2013-07-16	2	F	NA	NA	2013							
1/9/14	DM	M	40		1/8/14	NA				3/11	PF	M	8					DM	2013-07-16	7	M	33	Y	2013							
1/9/14	DM	F	36		1/8/14	DM	M	44		4/8	NA	F						DM	2013-07-16	3	M	NA	NA	2013							
3/13/14	DM	F	51		1/8/14	PF	F	7		5/6								DM	2013-07-16	1	M	NA	NA	2013							
3/13/14	DM	F	44		1/8/14	DM	M	45		5/18	NA	F	182					DM	2013-07-18	3	M	40	Y	2013							
3/13/14	DS	F	146		1/8/14	OT				6/9	OT	F	29					DM	2013-07-18	7	M	48	Y	2013							
					1/8/14	DS	M	157		7/8	NA	F	115					DM	2013-07-18	4	F	29	Y	2013							
					1/8/14	OX				7/8	NA	M	190					DM	2013-07-18	6	F	37	Y	2013							
					2/18/14	NA	M	218										DM	2014-01-09	1	M	40	Y	2014							
					2/18/14	PF	F	7										DM	2014-01-09	1	F	36	Y	2014							
					2/18/14	DM	M	52										DM	2014-03-13	1	F	51	Y	2014							
																		DM	2014-03-13	1	F	44	Y	2014							
																		DM	2014-01-08	2	M	45	Y	2014							
																		DM	2014-01-08	2	M	44	Y	2014							
																		DM	2014-02-18	2	M	52	Y	2014							
						gray cell means my measurement device wasn't calibrated correctly												DM	1978-01-08	4	F	37	Y	2014							
																		DM	1978-01-08	4	F	48	Y	2014							
																		DM	1978-01-08	4	M	NA	NA	2014							
																		DS	2014-03-13	1	F	146	Y	2014							
																		DS	2014-01-08	2	M	157	N	2014							
Plot: 4																		DS	2013-11-13	11	F	126	Y	2013							
Date collected	species_sex	wgt																DS	2013-11-13	17	M	132	N	2013							
1/8/78	DM_F	37																DS	2013-11-13	14	F	113	N	2013							
1/8/78	DM_M																	DS	2013-11-13	11	F	122	Y	2013							
1/8/78	DM_F	48																DS	2013-11-13	4	F	107	Y	2013							
1/8/78	DO_M	52																DS	2013-11-13	4	F	115	Y	2013							
1/8/78	OL_M	35																DS	2013-11-12	9	F	117	Y	2013							
																		PF	2014-01-08	2	F	7	Y	2014							
																		PF	2014-02-18	2	F	7	Y	2014							
																		PF	2015-03-11	3	M	8	Y	2014							
																		NA	2014-01-08	2	NA	NA	NA	2014							
2013 Field Season																		NA	2015-04-08	3	F	182	Y	2014							
																		NA	2015-05-18	3	F	115	Y	2014							
																		NA	2015-07-08	3	M	190	Y	2014							
Species: DM					Species: DO					Species: DS								NA	2015-07-08	3	M	218	N	2014							
Date Collected	Plot	Sex	Weight		Date Collected	Plot	Sex	Weight		Date Collected	Plot	Sex	Weight					NA	2014-01-08	2	NA	NA	NA	2014							
7/16/13	2	F			8/19/13	8	F	52		11/12/13	9	F	117					NA	2015-05-06	3	NA	NA	NA	2014							
7/16/13	7	M	33g		10/17/13	3	F	33		11/13/13	11	F	126					OX	2014-01-08	2	NA	NA	NA	2014							
7/16/13	3	M			10/17/13	3	F	50		11/13/13	17	M	132 (scale not calibrated)					OT	2014-01-08	2	NA	NA	NA	2014							
7/16/13	1	M			12/10/13	9	F	40		11/13/13	14	F	113 (scale not callibtrated)					OT	2015-06-09	3	F	29	Y	2014							
7/18/13	3	M	40g		12/10/13	1	M	45		11/13/13	11	F	122					DO	1978-01-08	4	M	52	Y	2014							
7/18/13	7	M	48g		12/11/13	8	F	41		11/13/13	4	F	107					DO	2013-08-19	8	F	52	Y	2013							
7/18/13	4	F	29g							11/13/13	4	F	115					DO	2013-10-17	3	F	33	Y	2013							
7/18/13	6	F	37g															DO	2013-10-17	3	F	50	Y	2013							
																		DO	2013-12-10	9	F	40	Y	2013							
																		DO	2013-12-10	1	M	45	Y	2013							
																		DO	2013-12-11	8	F	41	Y	2013							
																		OL	1978-01-08	4	M	35	Y	2014							
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																		Species	Date collected	Plot	Sex	Weight (g)	Device calibration status								
